Name,Description,Category,Installs,Score,No_of_Rating,InApp_Products_Price,Min_Product_Price,Max_Product_Price,Size,Ads,Last Update,Price,IAP,Android,Permissions
"Feter: Kink, Fetish, BDSM Dating & Fet Kinky Life 111","Legit Kink App for Fet, BDSM Dating & Life-style. Chat & Date with Kinky Singles",Social,"10,000",4.4,433,$7.99 - $49.99 per item,7.99,49.99 ,13,no,Tue Jan 19 2021,Free,yes,5.1,15
"Kink Dating Life: BDSM Dating, Fetish & kinky Life 58",This is kinky meeting & BDSM meeting & kink hookup & kinky match fetish app,Dating,"10,000",4.6,753,$8.99 - $38.99 per item,8.99,38.99 ,34,no,Sat Dec 26 2020,Free,yes,6,24
"KinkLife: Kinky, BDSM Dating & Fetish Lifestyle 106","A Private & Safe Social Network for the BDSM, Fetish & Kinky Community",Social,"10,000",4.7,284,$12.99 - $69.99 per item,2.99,69.99 ,13,no,Tue Sep 22 2020,Free,yes,4.2,17
"Kinkoo: BDSM, Fetish & Kink Dating for Kinky Chat 24",A Fet Lifestyle & Kink App for Fetish & BDSM dating. Chat with Kinky Singles!,Social,"10,000",4,716,NA,0,0,22,no,Thu Oct 29 2020,Free,no,5,33
"LiveStory - Free Dating App, Hookup Live Stream 2",A new generation free dating app that you can watch live broadcast.,Social,"10,000",4.7,"1,164",$0.99 - $144.99 per item,0.99,144.99,42,yes,Tue Jan 19 2021,Free,yes,6,15
"Mature Dating App - Meet online, Chat & Date 45","Find your date, make friends, like-minded people and flirt.",Dating,"10,000",4.6,212,$4.99 - $109.99 per item,4.99,109.99,24,no,Mon Jan 25 2021,Free,yes,5,19
Nuzzle – dating and chat 102,"Meet real people near you, get matched and have fun while chatting",Lifestyle,"10,000",4.2,341,$0.99 - $28.99 per item,0.99,28.99 ,18,no,Thu Nov 26 2020,Free,yes,4.1,14
Seattle Dating 119,"Find out why we've seen over 3 million swipes, 125k chats, and 30k matches!",Dating,"10,000",3.6,321,$0.99 - $21.99 per item,0.99,21.99 ,19,yes,Wed Oct 21 2020,Free,yes,5,16
Threesome Hookup & Swingers 3some Dating: Swinlr 109,"3rder down onlyfans for pure casualx meetup,3fun bi hily 3way kink nudes meet me",Social,"10,000",3.9,535,$19.99 - $69.99 per item,9.99,69.99 ,8.1,no,Mon Nov 09 2020,Free,yes,4.4,10
"kink: Kinky Dating App for BDSM, Kink & Fetish 44","Kinky Dating App for BDSM, Kink & Fetish",Dating,"10,000",4.6,366,$8.99 - $29.99 per item,8.99,29.99 ,14,no,Thu Jan 21 2021,Free,yes,4.4,12
Spotty - Local dating app 114,Spotty connects you with everyone around that has crossed your path.,Dating,"1,000",4.2,"1,259",$3.49 - $99.99 per item,3.49,99.99 ,32,yes,Mon Dec 14 2020,Free,yes,5,14
